beigntime,endtime,duration,dis,stop_lat,stop_lon,depot_id,energy_no_air,energy_air,busname,,
30730,32578,1848,18.74401377,38.495919,106.166576,3,13.12628143,24.90128143,55806455,,
37131,39638,2507,18.96804503,38.495693,106.166519,3,12.95100878,25.55656433,55806455,,
44240,45607,1367,18.8844081,38.49599,106.16672,3,13.72366361,26.46533028,55806455,,
50210,51354,1144,19.1415226,38.495761,106.165693,3,12.51197681,25.25642125,55806455,,
55741,57638,1897,20.15753462,38.492604,106.165296,3,12.02697941,24.17420164,55806455,,
62076,62859,783,18.6547181,38.492852,106.165352,3,13.84985946,26.13597057,55806455,,
67519,67744,225,18.70462525,38.492631,106.165312,3,12.63666942,25.5394472,55806455,,
72131,26476,40745,18.96689942,38.495911,106.166673,3,12.79992989,24.94437434,55806455,,
26719,28219,1500,19.98103498,38.492748,106.165368,3,11.49456026,27.40567137,55807515,,
33422,37613,4191,24.15962077,38.492795,106.165299,3,15.77709012,30.18820123,55807515,,
42786,45884,3098,24.3388456,38.492842,106.165403,3,16.70147303,31.02925081,55807515,,
51440,54295,2855,24.64473045,38.492407,106.165259,3,15.12367802,30.51256691,55807515,,
59696,62703,3007,23.98402662,38.492436,106.165324,3,15.04125828,30.00514716,55807515,,
68419,69289,870,24.2213732,38.492771,106.16532,3,15.85778515,31.69389626,55807515,,
74584,20976,32792,23.62634847,38.495548,106.167077,3,15.36267106,30.02933773,55807515,,
31515,34705,3190,24.85957008,38.493189,106.165376,3,15.94972675,30.82750452,55807575,,
40129,43473,3344,24.6909241,38.493007,106.165383,3,14.93570028,29.96070028,55807575,,
48661,51414,2753,25.41427043,38.492554,106.165282,3,15.13129875,29.5007432,55807575,,
56689,60281,3592,23.99133838,38.492509,106.165325,3,17.40704326,32.01815437,55807575,,
65527,67012,1485,23.41863228,38.494286,106.165198,3,18.6437647,33.17154248,55807575,,
72288,26144,40256,24.35274273,38.496092,106.167108,3,18.36727637,32.98116526,55807575,,
33066,36883,3817,24.71771275,38.492947,106.165309,3,15.88873405,30.88595627,55807897,,
42188,45289,3101,24.70706787,38.492634,106.165357,3,15.1802427,29.87468715,55807897,,
50720,53559,2839,24.99747992,38.492902,106.165333,3,14.2227462,29.26719065,55807897,,
59006,62103,3097,24.36698667,38.493395,106.165402,3,15.01817581,30.1070647,55807897,,
67377,68670,1293,24.2302226,38.492727,106.165281,3,15.26124193,29.86957526,55807897,,
73976,27652,40076,24.70227793,38.496027,106.167375,3,14.52892367,29.22614589,55807897,,
28014,29655,1641,18.96842905,38.495678,106.165555,3,11.72978858,24.51589969,55808118,,
34046,36017,1971,18.79328723,38.496149,106.166472,3,13.23349761,25.38905316,55808118,,
40571,42300,1729,19.40036727,38.495484,106.165073,3,12.35328317,24.8366165,55808118,,
46749,48614,1865,19.73008723,38.4929,106.165407,3,12.5004177,24.81708437,55808118,,
52986,54023,1037,19.52206325,38.493077,106.165414,3,12.36671981,24.47227537,55808118,,
58512,60317,1805,18.29808448,38.49597,106.166659,3,13.13726164,25.56226164,55808118,,
64799,65281,482,19.66818228,38.495588,106.165202,3,12.6582047,25.06653804,55808118,,
69777,23396,40019,19.38805835,38.495795,106.166705,3,11.73615125,24.1805957,55808118,,
28957,30607,1650,19.11622995,38.492766,106.165328,3,11.85736606,24.46847717,55808136,,
34871,37428,2557,18.98981668,38.495928,106.166612,3,12.77303853,24.57581631,55808136,,
41561,43141,1580,19.83578562,38.492755,106.165358,3,11.6315819,23.07047079,55808136,,
47696,49472,1776,18.59725142,38.493033,106.165407,3,12.54824166,25.15935277,55808136,,
53941,55216,1275,18.92347193,38.493146,106.165356,3,12.02657288,24.39323955,55808136,,
59708,61030,1322,19.05647733,38.492678,106.165352,3,11.86687281,24.30298392,55808136,,
65462,66065,603,19.56746153,38.492857,106.165324,3,12.09209339,24.36431562,55808136,,
70498,24402,40304,19.52815053,38.49591,106.166598,3,13.6347817,25.90422615,55808136,,
28160,29649,1489,24.60151312,38.49252,106.165274,3,14.83350564,29.61128342,55808181,,
34974,38808,3834,24.03602047,38.49339,106.165342,3,17.18482438,31.93204661,55808181,,
44105,47102,2997,24.2419344,38.492388,106.165225,3,15.50529728,30.1775195,55808181,,
52646,55727,3081,24.65522123,38.492617,106.165296,3,14.57400745,29.93234078,55808181,,
61364,63694,2330,23.73755535,38.492307,106.165243,3,16.32365735,31.94310179,55808181,,
69308,22825,39917,24.15109835,38.495727,106.166538,3,16.31119539,31.86397317,55808181,,
27534,29025,1491,18.67529795,38.492444,106.165381,3,10.38651177,24.59206732,55808377,,
34483,38208,3725,23.81768632,38.492336,106.165368,3,15.17013073,30.28957518,55808377,,
43623,46512,2889,17.691847,38.49218,106.165412,3,10.97965367,25.9768759,55808377,,
51899,55027,3128,22.75601835,38.492305,106.165426,3,13.42316505,28.34816505,55808377,,
60295,63179,2884,23.68476063,38.493822,106.16509,3,14.6863503,29.27801697,55808377,,
68484,22406,40322,22.32480103,38.495467,106.166642,3,14.13542377,28.82986821,55808377,,
29991,31618,1627,19.12973645,38.493518,106.165347,3,12.36174795,24.8173035,55809798,,
35949,38401,2452,18.948993,38.493376,106.16538,3,12.89531856,24.88420745,55809798,,
43019,44405,1386,19.43562765,38.493407,106.165394,3,12.16269604,24.94880715,55809798,,
49016,50429,1413,19.23036548,38.493051,106.165393,3,12.09515344,24.86182011,55809798,,
54905,56422,1517,19.0792089,38.493044,106.165386,3,12.81634877,25.20801543,55809798,,
60897,61967,1070,18.93738505,38.492676,106.165356,3,13.08566865,25.47455754,55809798,,
66568,66854,286,18.67055833,38.492535,106.165256,3,13.27771158,26.01937824,55809798,,
71346,25493,40547,19.71325027,38.495776,106.16661,3,11.84196302,24.27807413,55809798,,
30243,30933,690,29.06266117,38.49279,106.165328,3,17.52853712,33.04798157,65800350,,
37020,38086,1066,28.80141693,38.49252,106.165336,3,17.16637187,34.03303854,65800350,,
44218,45645,1427,28.80605255,38.492453,106.165276,3,17.29056347,34.28223014,65800350,,
51789,53470,1681,28.92364358,38.492456,106.165268,3,18.20755118,35.23255118,65800350,,
59580,62210,2630,29.32743108,38.492481,106.165296,3,18.13789522,35.06845077,65800350,,
68473,24641,42568,28.70660922,38.495685,106.168013,3,18.29325778,35.64603556,65800350,,
35002,52719,17717,29.35604458,38.495526,106.166649,3,17.17451285,33.51340174,65803996,,
55292,60316,5024,6.379196133,38.495626,106.165285,3,3.891947124,10.99750268,65803996,,
67072,29104,48432,27.9231033,38.495873,106.167971,3,18.69184609,37.41406831,65803996,,
31921,33287,1366,29.91111187,38.493024,106.165353,3,16.92382453,33.02104675,65808055,,
39419,40501,1082,29.87936653,38.493208,106.16541,3,16.49056088,33.48222754,65808055,,
46628,48310,1682,28.6585781,38.495621,106.165208,3,17.4287034,34.40648118,65808055,,
54424,55824,1400,28.87651897,38.493131,106.165438,3,17.83647618,34.77814285,65808055,,
61925,63924,1999,28.74082705,38.493386,106.165373,3,18.21445726,35.12001282,65808055,,
70028,26114,42486,29.23503367,38.495625,106.167995,3,17.75529723,34.66640835,65808055,,
33445,35790,2345,29.69203897,38.492981,106.165355,3,19.072454,35.20578733,65808395,,
41948,42896,948,28.13996577,38.496103,106.166621,3,17.77257015,34.83645904,65808395,,
49028,51146,2118,29.01962255,38.496035,106.166481,3,18.19008638,35.18453082,65808395,,
57192,58200,1008,28.8092916,38.496065,106.16679,3,19.11983496,35.86983496,65808395,,
64321,66053,1732,28.70172637,38.496058,106.166498,3,18.31233167,35.27622056,65808395,,
71585,27622,42437,29.05687308,38.495516,106.168016,3,19.47464227,34.79964227,65808395,,
33141,36058,2917,42.79304898,38.492705,106.166421,3,26.39991963,44.95547519,95180721,,
45007,46209,1202,42.99509305,38.492943,106.166331,3,26.73581413,51.5524808,95180721,,
52938,56408,3470,43.2412741,38.49299,106.166374,3,25.3628304,44.04060818,95180721,,
63643,64200,557,43.03158292,38.49288,106.16647,3,26.2556012,46.35004564,95180721,,
70893,26446,41953,42.84525022,38.491523,106.165795,3,25.70701984,44.25701984,95180721,,
44446,23949,65903,68.85246325,38.495606,106.167838,3,47.19785218,104.0895188,95180987,,
73950,74702,752,45.22924233,38.49264,106.166431,3,30.55995951,232.654404,95181013,,         վ
81620,1181,5961,36.66403337,38.49259,106.166345,3,24.71117,43.88339222,95181013,,
71913,72622,709,4.93331875,38.49279,106.166465,3,3.072697468,6.083808579,95181016,,         վ
69128,85800,16672,124.8882848,38.492751,106.16626,3,80.7707491,32.75686021,95181022,,         վ
50708,54031,3323,128.8253918,38.492713,106.166421,3,82.14731543,146.1139821,95181239,,
61712,62117,405,42.44704468,38.492978,106.166321,3,26.83420112,48.12864557,95181239,,
69122,24594,41872,43.97121042,38.491482,106.165642,3,28.21795257,47.63461923,95181239,,
28350,30007,1657,14.3145704,38.492783,106.166445,3,8.571431388,17.25198694,95181513,,
33145,34796,1651,14.3487596,38.492843,106.166447,3,9.128982519,17.80398252,95181513,,
37850,39597,1747,14.42238272,38.492946,106.166189,3,8.538764918,16.98043158,95181513,,
42756,44394,1638,14.26839488,38.492995,106.16611,3,8.003283723,16.73661706,95181513,,
47536,49204,1668,14.6064521,38.492897,106.166443,3,8.233895188,16.91722852,95181513,,
52208,54029,1821,14.4924421,38.492542,106.166404,3,8.158359382,16.46113716,95181513,,
57007,58797,1790,13.96619948,38.492771,106.166447,3,8.751255246,16.9818108,95181513,,
61731,62408,677,14.24615395,38.492986,106.16613,3,8.236158799,16.34449213,95181513,,
65324,66001,677,14.12121942,38.49297,106.16623,3,8.272657652,16.33099098,95181513,,
68993,25210,42617,14.51165268,38.491465,106.165664,3,8.035951485,16.30539593,95181513,,
72949,23954,37405,131.7849664,38.495396,106.167583,3,90.37358284,226.4291384,95181876,,
29593,31261,1668,43.74853917,38.492801,106.166424,3,28.22787748,46.95009971,95196103,,
37888,40822,2934,42.80906752,38.492799,106.166465,3,27.69356997,46.06023664,95196103,,
58469,59969,1500,87.8503475,38.492752,106.16644,3,53.08655138,101.9587736,95196103,,
67856,22837,41381,44.24254703,38.491516,106.165583,3,28.5681911,50.42374665,95196103,,
28253,30358,2105,46.55371957,38.492955,106.16638,3,27.70407172,42.6818495,95197902,,
69120,22846,40126,192.1542246,38.491557,106.165759,3,123.3699093,231.0032426,95197902,,
27556,66704,39148,27.67407615,38.493527,106.165365,3,18.15223051,31.29945273,95199510,,
69417,26249,43232,60.79769778,38.49566,106.167863,3,47.16667205,166.9111165,95199673,,
